functional,ecut_ry,kmesh,value_ev_atom,convergence_abs_mev_per_atom,scf_residual_abs_mev_per_atom,total_abs_mev_per_atom,relative_percent,quality_tier,source_file,reference_file
PBE,60,8,-2028.814189694538,11.35352573334343,2.17691089967904e-08,11.35352573334343,0.0005596138764710057,Amber,PBE_60_8_scf.out,PBE_90_10_scf.out
PBE,60,10,-2028.8141889836406,11.354236630715665,1.3605693122993999e-08,11.354236630715665,0.0005596489167104904,Amber,PBE_60_10_scf.out,PBE_90_10_scf.out
PBE,70,4,-2028.8214503964832,4.092823788393849,2.31296783090898e-08,4.092823788393849,0.0002017340553844207,Amber,PBE_70_4_scf.out,PBE_90_10_scf.out
PBE,70,6,-2028.8214507196183,4.092500653196527,1.054441217032035e-08,4.092500653196527,0.00020171812811545968,Amber,PBE_70_6_scf.out,PBE_90_10_scf.out
PBE,70,8,-2028.8214503046445,4.0929156267792735,2.278953598101495e-08,4.0929156267792735,0.00020173858207998976,Amber,PBE_70_8_scf.out,PBE_90_10_scf.out
PBE,70,10,-2028.8214486311444,4.094589126968851,8.8437005299461e-09,4.094589126968851,0.00020182106856823153,Amber,PBE_70_10_scf.out,PBE_90_10_scf.out
PBE,80,4,-2028.8248127374104,0.7304828610571696,1.1224696826470051e-08,0.7304828610571698,3.6005221173905056e-05,Green,PBE_80_4_scf.out,PBE_90_10_scf.out
PBE,80,6,-2028.8248141217894,0.7290984818824611,2.7211386245987998e-08,0.7290984818824616,3.593698562870072e-05,Green,PBE_80_6_scf.out,PBE_90_10_scf.out
PBE,80,8,-2028.8248138972958,0.7293229756103807,5.10213492112275e-09,0.7293229756103807,3.594805084276246e-05,Green,PBE_80_8_scf.out,PBE_90_10_scf.out
PBE,80,10,-2028.824814131994,0.7290882774111755,2.346982063716465e-08,0.7290882774111759,3.593648265402879e-05,Green,PBE_80_10_scf.out,PBE_90_10_scf.out
PBE,90,4,-2028.8255427338677,0.00048640364431479867,1.63268317475928e-08,0.0004864036445888154,2.3974641207118302e-08,Green,PBE_90_4_scf.out,PBE_90_10_scf.out
PBE,90,6,-2028.8255433019053,8.163422349696307e-05,2.7551528574062848e-08,8.16342281462797e-05,4.023718471792322e-09,Green,PBE_90_6_scf.out,PBE_90_10_scf.out
PBE,90,8,-2028.8255432678911,4.761973168832786e-05,1.3605693122993999e-08,4.761973363200619e-05,2.347157634623608e-09,Green,PBE_90_8_scf.out,PBE_90_10_scf.out
PBE,90,10,-2028.8255432202714,0.0,1.02042698422455e-08,1.02042698422455e-08,5.029643813557612e-13,Green,PBE_90_10_scf.out,PBE_90_10_scf.out
PBEsol,40,4,-2002.417479246702,56.78253030167302,2.7551528574062848e-08,56.78253030167302,0.00283569889347122,Red,PBEsol_40_4_scf.out,PBEsol_80_8_scf.out
PBEsol,40,6,-2002.417502420599,56.759356404613925,1.29254084668443e-08,56.759356404613925,0.00283454156468374,Red,PBEsol_40_6_scf.out,PBEsol_80_8_scf.out
PBEsol,40,8,-2002.4174832637832,56.778513220569344,1.83676857160419e-08,56.778513220569344,0.0028354982762148497,Red,PBEsol_40_8_scf.out,PBEsol_80_8_scf.out
PBEsol,60,4,-2002.463753668224,10.508108779637661,2.31296783090898e-08,10.508108779637661,0.0005247590005256437,Amber,PBEsol_60_4_scf.out,PBEsol_80_8_scf.out
PBEsol,60,6,-2002.4637510899452,10.510687058441608,1.1224696826470051e-08,10.510687058441608,0.0005248877565309545,Amber,PBEsol_60_6_scf.out,PBEsol_80_8_scf.out
PBEsol,60,8,-2002.4637494674662,10.512309537512191,5.78241957727245e-09,10.512309537512191,0.000524968781098176,Amber,PBEsol_60_8_scf.out,PBEsol_80_8_scf.out
